Specified Values,Specified Attribute Names,Country,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"0.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_0, R_3, R_4",1.0,0.24264793536954105,0.0,0.0,1.0,1,18.222647181934718,4889,1860,0.5454545454545454,0.0006398395378857235,24,48
"1.0, 1.0, 0.0, 0.0","A_1, A_2, R_3, R_7",0.0,0.4941508180755443,1000.0,0.0,1.0,5,19.63594168241727,4989,1870,0.36363636363636365,0.003447317979268192,144,194
"0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, R_0, R_3, R_5, R_6, R_7",0.0,0.10212686660078851,800.0,160.0,9.5367431640625e-08,1,17.36051456,4993,1870,0.6363636363636364,0.0006095680557619967,12,22
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_4, R_5, R_7",0.0,0.003621995467315603,782.4334655023953,290.6586423043678,4.820407983589978e-09,1,15.2435788287049,4795,1882,0.5454545454545454,0.009559647450955602,24,56
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_4",0.0,0.2957403741503716,1000.0,0.0,1.0,1,11.028157611505467,4984,1900,0.5454545454545454,0.00038722427095399717,27,50
"1.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_1, R_4, R_6",0.0,0.3363326392917442,0.0,0.0,1.0,1,15.160768000000001,4999,1909,0.5454545454545454,0.0005688533974351206,10,50
"0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, R_0, R_1, R_2, R_7",0.0,0.006892793332412928,551.5333631999999,422.7831944533333,7.403062581645768e-10,1,16.023501312,4643,1924,0.5454545454545454,0.0005626224100384985,14,48
"1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_3, R_4, R_5, R_6",0.0,0.08229652359795434,0.0,0.0,1.0,1,13.5,3563,1986,0.8181818181818182,0.0004740164080013856,2,5
"0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_1, R_6",1.0,0.14146842771869292,0.0,0.0,1.0,2,28.494821965793328,4976,1997,0.5454545454545454,0.0020010389859058276,22,51
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_4, R_5",1.0,0.13878819204613801,0.0,0.0,1.0,1,20.23392,4870,1998,0.6363636363636364,0.000710460005791659,9,24
"0.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_0, R_1, R_3, R_4, R_5, R_7",1.0,0.02293664718373217,669.9197070420347,408.1685654157652,8.826778425921582e-10,1,13.531977592830353,4902,2018,0.5454545454545454,0.0004751392156821245,29,45
"1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_3, R_4, R_7",0.0,0.011819234569021203,616.507904,411.74848853333333,8.449673578341778e-10,1,17.940517888,4446,2032,0.6363636363636364,0.0006299333219966196,13,21
"1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_5",1.0,0.1549045033429663,0.0,0.0,1.0,2,19.496713760119196,4791,2040,0.45454545454545453,0.0013691499591707984,20,92
"1.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_2, R_3, R_4, R_6, R_7",1.0,0.05647866021252551,1000.0,0.0,1.0,1,24.069992298867575,4916,2050,0.5454545454545454,0.000845153428898535,43,49
