A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Inverse Variance,g_k,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
1.0,0.0,0.0,#,#,#,#,0.0,#,#,0.0,1.0,0.3440882606488911,inf,0.14285714285714285,0.0,0.0,1.0,5,30.39657743843328,2879,401,0.45454545454545453,0.0017904774652922337,20,78
#,#,0.0,1.0,0.0,#,0.0,0.0,0.0,#,#,1.0,0.0016627696836857997,0.0013125,0.0,500.745515597824,440.1441323002539,6.053763038421829e-10,1,23.975056778002433,2807,417,0.5454545454545454,0.0002824449494490702,19,40
#,0.0,#,0.0,0.0,0.0,#,1.0,0.0,0.0,#,1.0,0.23484820194510958,0.00125,0.0,0.0,0.0,1.0,1,32.88,2848,435,0.6363636363636364,0.0003873521561961945,6,20
#,1.0,#,#,#,1.0,#,1.0,1.0,#,0.0,0.0,0.003640345045428358,0.0016562500000000002,0.036624028305326156,694.275242874081,338.35599098910563,2.254917448073929e-09,2,20.873000265857748,2933,437,0.45454545454545453,0.01747257425531761,37,82
#,#,0.0,1.0,0.0,#,#,1.0,1.0,#,1.0,0.0,0.0171759075822186,0.0014559751970781407,0.0,401.457664,400.6307157333334,9.688996196511686e-10,1,28.28019456,2953,454,0.5454545454545454,0.0003331628449046195,13,38
0.0,1.0,0.0,#,#,#,1.0,0.0,#,0.0,#,0.0,0.0044124318921444534,0.0013125,0.0,644.1734346442278,364.88734616224883,1.54598752738366e-09,1,25.839206881434116,2902,464,0.5454545454545454,0.0044612415534385705,23,41
0.0,1.0,1.0,#,#,#,0.0,1.0,1.0,#,0.0,1.0,0.0758878389496386,inf,0.25,0.0,0.0,1.0,1,24.5,2960,465,0.6363636363636364,0.0002886291918128578,2,20
0.0,1.0,0.0,0.0,#,1.0,#,#,#,#,0.0,1.0,0.5101704379553983,inf,1.0,1000.0,0.0,1.0,4,22.89719878064292,2470,492,0.5454545454545454,0.0010789877516465827,29,38
#,1.0,0.0,0.0,#,#,#,0.0,#,1.0,#,1.0,0.2042157154761636,0.002625525421051247,0.0,869.1738854553363,167.6102444690422,7.559571906350293e-08,2,21.241632113094965,2880,492,0.45454545454545453,0.0005019094391810861,42,76
#,1.0,1.0,#,#,#,1.0,0.0,1.0,0.0,#,1.0,0.018225734446695032,0.0017594932762394673,0.0,754.0465952758956,263.2671395082509,7.90709080958116e-09,1,28.393758991399253,2986,518,0.5454545454545454,0.0003345007228659849,23,39
