Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
105,0.62,0,113,118,5,3,67.0,0,0,0,0,0,0.082000732421875,0.009999752044677734,0.0,0.0010001659393310547,0.0,0.0
106,0.62,0,113,118,6,2,51.0,0,0,0,0,0,0.082000732421875,0.009999752044677734,0.0,0.0010001659393310547,0.0,0.0
107,0.62,0,114,119,3,2,80.33333333333333,0,0,0,1,0,0.082000732421875,0.009999752044677734,0.0,0.0010001659393310547,0.0,0.0
108,0.62,0,114,119,5,2,61.5,0,0,0,0,0,0.082000732421875,0.009999752044677734,0.0,0.0010001659393310547,0.0,0.0
109,0.62,0,114,119,5,2,85.66666666666667,0,0,0,0,0,0.08300065994262695,0.010999679565429688,0.0,0.0010001659393310547,0.0,0.0
110,0.62,0,114,119,6,5,69.5,0,0,0,0,0,0.08300065994262695,0.010999679565429688,0.0,0.0010001659393310547,0.0,0.0
111,0.62,0,116,122,5,2,72.66666666666666,0,0,1,1,0,0.08300065994262695,0.010999679565429688,0.0,0.0010001659393310547,0.0,0.0
112,0.6,0,116,122,5,4,64.0,0,0,0,0,0,0.08300065994262695,0.010999679565429688,0.0,0.0010001659393310547,0.0,0.0
113,0.6,0,118,125,5,1,98.0,0,0,1,1,0,0.0840003490447998,0.010999679565429688,0.0,0.0019998550415039062,0.0,0.0
114,0.6,0,119,127,7,4,72.0,0,0,1,0,0,0.0840003490447998,0.010999679565429688,0.0,0.0019998550415039062,0.0,0.0
115,0.6,0,120,128,4,3,50.66666666666667,0,0,0,1,0,0.0840003490447998,0.010999679565429688,0.0,0.0019998550415039062,0.0,0.0
116,0.58,0,120,128,8,4,55.8,0,0,0,0,0,0.0840003490447998,0.010999679565429688,0.0,0.0019998550415039062,0.0,0.0
117,0.56,0,121,129,3,1,114.0,0,0,0,1,0,0.0840003490447998,0.010999679565429688,0.0,0.0019998550415039062,0.0,0.0
118,0.56,0,123,131,6,3,44.66666666666667,0,0,1,0,0,0.08500051498413086,0.011999845504760742,0.0,0.0019998550415039062,0.0,0.0
